SpecialOfferID,ProductID,rowguid,ModifiedDate
1,680,...,"2001-05-02 00:00:00"
1,706,...,"2001-05-02 00:00:00"
1,707,...,"2001-05-02 00:00:00"
1,708,...,"2001-05-02 00:00:00"
1,709,...,"2001-05-02 00:00:00"
1,710,...,"2001-05-02 00:00:00"
1,711,...,"2001-05-02 00:00:00"
1,712,...,"2001-05-02 00:00:00"
1,713,...,"2001-05-02 00:00:00"
1,714,...,"2001-05-02 00:00:00"
1,715,...,"2001-05-02 00:00:00"
1,716,...,"2001-05-02 00:00:00"
1,717,...,"2001-05-02 00:00:00"
1,718,...,"2001-05-02 00:00:00"
1,719,...,"2001-05-02 00:00:00"
1,720,...,"2001-05-02 00:00:00"
1,721,...,"2001-05-02 00:00:00"
1,722,...,"2001-05-02 00:00:00"
1,723,...,"2001-05-02 00:00:00"
1,724,...,"2001-05-02 00:00:00"
1,725,...,"2001-05-02 00:00:00"
1,726,...,"2001-05-02 00:00:00"
1,727,...,"2001-05-02 00:00:00"
1,728,...,"2001-05-02 00:00:00"
1,729,...,"2001-05-02 00:00:00"
1,730,...,"2001-05-02 00:00:00"
1,731,...,"2001-05-02 00:00:00"
1,732,...,"2001-05-02 00:00:00"
1,733,...,"2001-05-02 00:00:00"
1,734,...,"2001-05-02 00:00:00"
1,735,...,"2001-05-02 00:00:00"
1,736,...,"2001-05-02 00:00:00"
1,737,...,"2001-05-02 00:00:00"
1,738,...,"2001-05-02 00:00:00"
1,739,...,"2001-05-02 00:00:00"
1,740,...,"2001-05-02 00:00:00"
1,741,...,"2001-05-02 00:00:00"
1,742,...,"2001-05-02 00:00:00"
1,743,...,"2001-05-02 00:00:00"
1,744,...,"2001-05-02 00:00:00"
1,745,...,"2001-05-02 00:00:00"
1,746,...,"2001-05-02 00:00:00"
1,747,...,"2001-05-02 00:00:00"
1,748,...,"2001-05-02 00:00:00"
1,749,...,"2001-05-02 00:00:00"
1,750,...,"2001-05-02 00:00:00"
1,751,...,"2001-05-02 00:00:00"
1,752,...,"2001-05-02 00:00:00"
1,753,...,"2001-05-02 00:00:00"
1,754,...,"2001-05-02 00:00:00"
1,755,...,"2001-05-02 00:00:00"
1,756,...,"2001-05-02 00:00:00"
1,757,...,"2001-05-02 00:00:00"
1,758,...,"2001-05-02 00:00:00"
1,759,...,"2001-05-02 00:00:00"
1,760,...,"2001-05-02 00:00:00"
1,761,...,"2001-05-02 00:00:00"
1,762,...,"2001-05-02 00:00:00"
1,763,...,"2001-05-02 00:00:00"
1,764,...,"2001-05-02 00:00:00"
1,765,...,"2001-05-02 00:00:00"
1,766,...,"2001-05-02 00:00:00"
1,767,...,"2001-05-02 00:00:00"
1,768,...,"2001-05-02 00:00:00"
1,769,...,"2001-05-02 00:00:00"
1,770,...,"2001-05-02 00:00:00"
1,771,...,"2001-05-02 00:00:00"
1,772,...,"2001-05-02 00:00:00"
1,773,...,"2001-05-02 00:00:00"
1,774,...,"2001-05-02 00:00:00"
1,775,...,"2001-05-02 00:00:00"
1,776,...,"2001-05-02 00:00:00"
1,777,...,"2001-05-02 00:00:00"
